lon lat dep Vp Vs
99.600 32.400 0.000 5.272 3.136
99.600 32.600 0.000 5.298 3.141
99.800 22.800 0.000 5.153 2.986
99.800 23.000 0.000 5.186 3.007
99.800 23.200 0.000 5.178 3.013
99.800 23.400 0.000 5.161 3.015
99.800 23.600 0.000 5.126 3.003
99.800 23.800 0.000 5.101 3.000
99.800 24.000 0.000 5.069 2.997
99.800 24.200 0.000 4.989 2.958
99.800 24.400 0.000 4.942 2.944
99.800 24.600 0.000 4.906 2.938
99.800 24.800 0.000 4.864 2.942
99.800 25.000 0.000 4.833 2.948
99.800 25.200 0.000 4.781 2.941
99.800 25.400 0.000 4.771 2.943
99.800 25.600 0.000 4.820 2.952
99.800 25.800 0.000 4.919 2.976
99.800 26.000 0.000 4.987 2.992
99.800 26.200 0.000 5.034 2.991
99.800 26.400 0.000 5.044 2.975
99.800 26.600 0.000 5.061 2.974
99.800 26.800 0.000 5.126 2.987
99.800 27.000 0.000 5.148 2.988
99.800 27.200 0.000 5.209 3.008
99.800 27.400 0.000 5.182 3.006
99.800 27.600 0.000 5.199 3.009
99.800 27.800 0.000 5.223 3.015
99.800 28.000 0.000 5.210 3.022
99.800 28.200 0.000 5.218 3.038
99.800 28.400 0.000 5.228 3.048
99.800 28.600 0.000 5.248 3.058
99.800 28.800 0.000 5.258 3.060
99.800 29.000 0.000 5.338 3.070
99.800 29.200 0.000 5.318 3.079
99.800 29.400 0.000 5.300 3.093
99.800 29.600 0.000 5.240 3.095
99.800 29.800 0.000 5.280 3.107
99.800 30.000 0.000 5.364 3.114
99.800 30.200 0.000 5.233 3.089
99.800 30.400 0.000 5.168 3.054
99.800 30.600 0.000 5.189 3.047
99.800 30.800 0.000 5.300 3.096
99.800 31.000 0.000 5.430 3.138
99.800 31.200 0.000 5.410 3.142
99.800 31.400 0.000 5.379 3.147
99.800 31.600 0.000 5.268 3.131
99.800 31.800 0.000 5.193 3.113
99.800 32.000 0.000 5.197 3.112
99.800 32.200 0.000 5.187 3.114
99.800 32.400 0.000 5.253 3.126
99.800 32.600 0.000 5.256 3.129
99.800 32.800 0.000 5.279 3.135
100.000 22.600 0.000 5.023 2.969
100.000 22.800 0.000 5.121 2.992
100.000 23.000 0.000 5.160 3.001
100.000 23.200 0.000 5.170 3.012
100.000 23.400 0.000 5.141 3.002
100.000 23.600 0.000 5.139 3.010
100.000 23.800 0.000 5.155 3.021
100.000 24.000 0.000 5.149 3.017
100.000 24.200 0.000 5.094 2.995
100.000 24.400 0.000 5.005 2.952
100.000 24.600 0.000 4.960 2.943
100.000 24.800 0.000 4.888 2.938
100.000 25.000 0.000 4.834 2.944
100.000 25.200 0.000 4.786 2.934
100.000 25.400 0.000 4.788 2.945
100.000 25.600 0.000 4.817 2.945
100.000 25.800 0.000 4.892 2.957
100.000 26.000 0.000 5.007 2.983
100.000 26.200 0.000 5.120 3.001
100.000 26.400 0.000 5.112 2.983
100.000 26.600 0.000 5.139 2.979
100.000 26.800 0.000 5.149 2.980
100.000 27.000 0.000 5.150 2.982
100.000 27.200 0.000 5.152 2.990
100.000 27.400 0.000 5.137 2.995
100.000 27.600 0.000 5.163 3.004
100.000 27.800 0.000 5.189 3.015
100.000 28.000 0.000 5.185 3.020
100.000 28.200 0.000 5.189 3.032
100.000 28.400 0.000 5.221 3.052
100.000 28.600 0.000 5.227 3.051
100.000 28.800 0.000 5.272 3.060
100.000 29.000 0.000 5.317 3.066
100.000 29.200 0.000 5.312 3.079
100.000 29.400 0.000 5.306 3.091
100.000 29.600 0.000 5.320 3.101
100.000 29.800 0.000 5.349 3.106
100.000 30.000 0.000 5.375 3.111
100.000 30.200 0.000 5.385 3.118
100.000 30.400 0.000 5.404 3.126
100.000 30.600 0.000 5.428 3.142
100.000 30.800 0.000 5.455 3.134
100.000 31.000 0.000 5.589 3.171
100.000 31.200 0.000 5.534 3.172
100.000 31.400 0.000 5.491 3.172
100.000 31.600 0.000 5.254 3.140
100.000 31.800 0.000 5.177 3.111
100.000 32.000 0.000 5.164 3.100
100.000 32.200 0.000 5.208 3.109
100.000 32.400 0.000 5.208 3.113
100.000 32.600 0.000 5.257 3.123
100.000 32.800 0.000 5.255 3.124
100.000 33.000 0.000 5.277 3.129
100.200 22.600 0.000 4.967 2.968
100.200 22.800 0.000 5.027 2.984
100.200 23.000 0.000 5.061 3.001
100.200 23.200 0.000 5.053 2.994
100.200 23.400 0.000 5.057 3.000
100.200 23.600 0.000 5.087 3.022
100.200 23.800 0.000 5.095 3.006
100.200 24.000 0.000 5.150 3.010
100.200 24.200 0.000 5.152 3.005
100.200 24.400 0.000 5.089 2.981
100.200 24.600 0.000 5.027 2.964
100.200 24.800 0.000 4.919 2.951
100.200 25.000 0.000 4.811 2.942
100.200 25.200 0.000 4.745 2.929
100.200 25.400 0.000 4.743 2.933
100.200 25.600 0.000 4.790 2.934
100.200 25.800 0.000 4.876 2.958
100.200 26.000 0.000 4.958 2.974
100.200 26.200 0.000 5.053 2.983
100.200 26.400 0.000 5.101 2.978
100.200 26.600 0.000 5.112 2.969
100.200 26.800 0.000 5.077 2.966
100.200 27.000 0.000 5.044 2.962
100.200 27.200 0.000 5.084 2.979
100.200 27.400 0.000 5.152 2.997
100.200 27.600 0.000 5.131 2.999
100.200 27.800 0.000 5.215 3.025
100.200 28.000 0.000 5.178 3.023
100.200 28.200 0.000 5.174 3.035
100.200 28.400 0.000 5.202 3.043
100.200 28.600 0.000 5.207 3.057
100.200 28.800 0.000 5.244 3.062
100.200 29.000 0.000 5.304 3.070
100.200 29.200 0.000 5.321 3.080
100.200 29.400 0.000 5.335 3.092
100.200 29.600 0.000 5.362 3.101
100.200 29.800 0.000 5.388 3.112
100.200 30.000 0.000 5.384 3.117
100.200 30.200 0.000 5.378 3.113
100.200 30.400 0.000 5.380 3.118
100.200 30.600 0.000 5.325 3.114
100.200 30.800 0.000 5.426 3.129
100.200 31.000 0.000 5.368 3.132
100.200 31.200 0.000 5.410 3.140
100.200 31.400 0.000 5.271 3.125
100.200 31.600 0.000 5.243 3.131
100.200 31.800 0.000 5.137 3.107
100.200 32.000 0.000 5.161 3.094
100.200 32.200 0.000 5.170 3.099
100.200 32.400 0.000 5.212 3.107
100.200 32.600 0.000 5.243 3.121
100.200 32.800 0.000 5.268 3.142
100.200 33.000 0.000 5.286 3.160
100.400 22.400 0.000 4.939 2.970
100.400 22.600 0.000 4.916 2.965
100.400 22.800 0.000 4.924 2.970
100.400 23.000 0.000 4.941 2.983
100.400 23.200 0.000 4.937 2.983
100.400 23.400 0.000 4.940 2.990
100.400 23.600 0.000 4.965 2.996
100.400 23.800 0.000 5.007 3.011
100.400 24.000 0.000 5.064 3.016
100.400 24.200 0.000 5.105 3.008
100.400 24.400 0.000 5.120 2.993
100.400 24.600 0.000 5.074 2.983
100.400 24.800 0.000 4.954 2.961
100.400 25.000 0.000 4.822 2.941
100.400 25.200 0.000 4.741 2.925
100.400 25.400 0.000 4.724 2.925
100.400 25.600 0.000 4.760 2.925
100.400 25.800 0.000 4.835 2.945
100.400 26.000 0.000 4.894 2.962
100.400 26.200 0.000 4.959 2.964
100.400 26.400 0.000 4.982 2.952
100.400 26.600 0.000 5.015 2.950
100.400 26.800 0.000 4.982 2.948
100.400 27.000 0.000 4.951 2.943
100.400 27.200 0.000 5.045 2.966
100.400 27.400 0.000 5.103 2.984
